CMDLINE /home/farid/projects/test-mem-prof/.venv/bin/python3 main.py
MEM 0.484375 1726086851.5808
MEM 28.476562 1726086851.6811
MEM 34.925781 1726086851.7814
MEM 40.914062 1726086851.8817
MEM 119.140625 1726086851.9820
MEM 239.121094 1726086852.0823
MEM 282.062500 1726086852.1826
MEM 292.371094 1726086852.2829
MEM 306.449219 1726086852.3832
MEM 316.046875 1726086852.4836
MEM 327.250000 1726086852.5839
MEM 345.910156 1726086852.6842
MEM 353.628906 1726086852.7844
MEM 369.785156 1726086852.8847
MEM 388.152344 1726086852.9851
MEM 397.316406 1726086853.0855
MEM 403.503906 1726086853.1857
MEM 428.140625 1726086853.2860
MEM 428.656250 1726086853.3863
MEM 428.656250 1726086853.4867
MEM 428.656250 1726086853.5870
MEM 428.656250 1726086853.6873
MEM 428.656250 1726086853.7876
MEM 428.656250 1726086853.8879
MEM 428.656250 1726086853.9882
MEM 429.511719 1726086854.0885
MEM 587.136719 1726086854.1888
MEM 434.546875 1726086854.2892
MEM 434.546875 1726086854.3894
MEM 434.546875 1726086854.4898
MEM 434.546875 1726086854.5901
MEM 434.546875 1726086854.6904
MEM 434.546875 1726086854.7907
MEM 434.546875 1726086854.8911
MEM 434.726562 1726086854.9914
MEM 434.726562 1726086855.0917
MEM 434.726562 1726086855.1921
MEM 434.726562 1726086855.2924
MEM 434.726562 1726086855.3927
MEM 434.726562 1726086855.4930
MEM 434.726562 1726086855.5933
MEM 434.726562 1726086855.6936
MEM 434.726562 1726086855.7940
MEM 434.898438 1726086855.8944
MEM 434.898438 1726086855.9947
MEM 434.898438 1726086856.0950
MEM 434.898438 1726086856.1985
MEM 434.898438 1726086856.2988
MEM 434.898438 1726086856.3992
MEM 434.898438 1726086856.4995
MEM 434.898438 1726086856.5998
MEM 434.898438 1726086856.7001
MEM 587.535156 1726086856.8005
MEM 434.945312 1726086856.9008
MEM 434.945312 1726086857.0010
MEM 434.945312 1726086857.1014
MEM 434.945312 1726086857.2017
MEM 434.945312 1726086857.3020
MEM 434.945312 1726086857.4023
MEM 434.945312 1726086857.5026
MEM 434.945312 1726086857.6029
MEM 434.945312 1726086857.7033
MEM 434.945312 1726086857.8035
MEM 434.945312 1726086857.9038
MEM 434.945312 1726086858.0041
MEM 434.945312 1726086858.1044
MEM 434.945312 1726086858.2048
MEM 434.945312 1726086858.3051
MEM 587.527344 1726086858.4054
MEM 434.937500 1726086858.5057
MEM 434.937500 1726086858.6061
MEM 434.937500 1726086858.7064
MEM 434.937500 1726086858.8067
MEM 434.937500 1726086858.9070
MEM 434.937500 1726086859.0073
MEM 527.570312 1726086859.1076
MEM 434.980469 1726086859.2080
MEM 434.980469 1726086859.3083
MEM 434.980469 1726086859.4085
MEM 434.980469 1726086859.5089
MEM 434.980469 1726086859.6092
MEM 434.980469 1726086859.7095
MEM 434.980469 1726086859.8097
MEM 434.980469 1726086859.9100
MEM 435.078125 1726086860.0104
MEM 435.078125 1726086860.1107
MEM 435.078125 1726086860.2109
MEM 435.078125 1726086860.3113
MEM 435.078125 1726086860.4115
MEM 435.078125 1726086860.5119
MEM 435.078125 1726086860.6122
MEM 435.078125 1726086860.7125
MEM 435.250000 1726086860.8128
MEM 435.250000 1726086860.9132
MEM 435.250000 1726086861.0135
MEM 435.250000 1726086861.1138
MEM 435.250000 1726086861.2141
MEM 435.250000 1726086861.3144
MEM 435.250000 1726086861.4147
MEM 435.250000 1726086861.5150
MEM 485.910156 1726086861.6154
MEM 435.398438 1726086861.7157
MEM 435.398438 1726086861.8161
MEM 435.398438 1726086861.9164
MEM 435.398438 1726086862.0167
MEM 435.398438 1726086862.1170
MEM 435.398438 1726086862.2173
MEM 435.398438 1726086862.3176
MEM 435.398438 1726086862.4179
MEM 435.398438 1726086862.5183
MEM 435.398438 1726086862.6186
MEM 435.398438 1726086862.7189
MEM 435.398438 1726086862.8192
MEM 435.398438 1726086862.9195
MEM 435.398438 1726086863.0199
MEM 435.398438 1726086863.1203
MEM 435.398438 1726086863.2206
MEM 435.398438 1726086863.3209
MEM 435.398438 1726086863.4212
MEM 435.398438 1726086863.5215
MEM 435.398438 1726086863.6219
MEM 435.398438 1726086863.7222
