CMDLINE python main.py
MEM 409.570312 1726230145.9448
MEM 409.570312 1726230146.0451
MEM 409.570312 1726230146.1454
MEM 409.570312 1726230146.2457
MEM 410.730469 1726230146.3460
MEM 415.195312 1726230146.4463
MEM 415.195312 1726230146.5466
MEM 415.195312 1726230146.6469
MEM 415.195312 1726230146.7473
MEM 415.195312 1726230146.8476
MEM 415.195312 1726230146.9478
MEM 415.195312 1726230147.0481
MEM 415.195312 1726230147.1484
MEM 415.195312 1726230147.2487
MEM 417.195312 1726230147.3490
MEM 415.582031 1726230147.4493
MEM 415.582031 1726230147.5496
MEM 415.582031 1726230147.6498
MEM 415.582031 1726230147.7501
MEM 415.582031 1726230147.8504
MEM 415.582031 1726230147.9507
MEM 415.582031 1726230148.0511
MEM 415.582031 1726230148.1514
MEM 415.582031 1726230148.2517
MEM 417.832031 1726230148.3520
MEM 416.136719 1726230148.4523
MEM 416.136719 1726230148.5526
MEM 416.136719 1726230148.6529
MEM 416.136719 1726230148.7531
MEM 416.136719 1726230148.8534
MEM 416.136719 1726230148.9537
MEM 416.136719 1726230149.0541
MEM 416.136719 1726230149.1543
MEM 416.136719 1726230149.2545
MEM 418.644531 1726230149.3548
MEM 416.734375 1726230149.4551
MEM 416.734375 1726230149.5553
MEM 416.734375 1726230149.6556
MEM 416.734375 1726230149.7558
MEM 416.734375 1726230149.8560
MEM 416.734375 1726230149.9564
MEM 416.734375 1726230150.0567
MEM 416.734375 1726230150.1570
MEM 416.734375 1726230150.2572
MEM 419.242188 1726230150.3575
MEM 417.343750 1726230150.4578
MEM 417.343750 1726230150.5581
MEM 417.343750 1726230150.6583
MEM 417.343750 1726230150.7586
MEM 417.343750 1726230150.8590
MEM 417.343750 1726230150.9593
MEM 417.343750 1726230151.0595
MEM 417.343750 1726230151.1599
MEM 417.343750 1726230151.2602
MEM 419.851562 1726230151.3605
MEM 417.937500 1726230151.4608
MEM 417.937500 1726230151.5611
MEM 417.937500 1726230151.6613
MEM 417.937500 1726230151.7616
MEM 417.937500 1726230151.8619
MEM 417.937500 1726230151.9622
MEM 417.937500 1726230152.0625
MEM 417.937500 1726230152.1628
MEM 417.937500 1726230152.2631
MEM 420.187500 1726230152.3635
MEM 418.519531 1726230152.4639
MEM 418.519531 1726230152.5642
MEM 418.519531 1726230152.6644
MEM 418.519531 1726230152.7646
MEM 418.519531 1726230152.8655
MEM 418.519531 1726230152.9658
MEM 418.519531 1726230153.0661
MEM 418.519531 1726230153.1664
MEM 418.519531 1726230153.2667
MEM 422.519531 1726230153.3670
MEM 418.582031 1726230153.4674
MEM 418.582031 1726230153.5676
MEM 418.582031 1726230153.6678
MEM 418.582031 1726230153.7681
MEM 418.582031 1726230153.8683
MEM 418.582031 1726230153.9686
MEM 418.582031 1726230154.0689
MEM 418.582031 1726230154.1692
MEM 418.582031 1726230154.2695
MEM 418.585938 1726230154.3698
MEM 418.585938 1726230154.4701
MEM 418.585938 1726230154.5704
MEM 418.585938 1726230154.6706
MEM 418.585938 1726230154.7709
MEM 418.585938 1726230154.8717
MEM 418.585938 1726230154.9720
MEM 418.585938 1726230155.0723
MEM 418.585938 1726230155.1726
MEM 418.585938 1726230155.2729
MEM 418.882812 1726230155.3732
MEM 418.882812 1726230155.4735
MEM 418.882812 1726230155.5737
MEM 418.882812 1726230155.6739
MEM 418.882812 1726230155.7742
MEM 418.882812 1726230155.8746
MEM 418.882812 1726230155.9749
MEM 418.882812 1726230156.0753
MEM 418.882812 1726230156.1757
MEM 418.882812 1726230156.2762
MEM 419.359375 1726230156.3765
MEM 419.359375 1726230156.4768
MEM 419.359375 1726230156.5772
MEM 419.359375 1726230156.6775
MEM 419.359375 1726230156.7779
MEM 419.359375 1726230156.8782
MEM 419.359375 1726230156.9785
MEM 419.359375 1726230157.0788
MEM 419.359375 1726230157.1791
MEM 419.359375 1726230157.2794
MEM 419.843750 1726230157.3797
MEM 419.843750 1726230157.4801
MEM 419.843750 1726230157.5803
MEM 419.843750 1726230157.6805
MEM 419.843750 1726230157.7808
MEM 419.843750 1726230157.8811
MEM 419.843750 1726230157.9816
MEM 419.843750 1726230158.0819
MEM 419.843750 1726230158.1823
MEM 419.843750 1726230158.2826
MEM 420.335938 1726230158.3830
MEM 420.335938 1726230158.4833
MEM 420.335938 1726230158.5835
MEM 420.335938 1726230158.6837
MEM 420.335938 1726230158.7840
MEM 420.335938 1726230158.8842
MEM 420.335938 1726230158.9845
MEM 420.335938 1726230159.0849
MEM 420.335938 1726230159.1852
MEM 420.335938 1726230159.2855
MEM 420.894531 1726230159.3858
MEM 420.894531 1726230159.4861
MEM 420.894531 1726230159.5864
MEM 420.894531 1726230159.6868
MEM 420.894531 1726230159.7871
MEM 420.894531 1726230159.8875
MEM 420.894531 1726230159.9878
MEM 420.894531 1726230160.0881
MEM 420.894531 1726230160.1884
MEM 420.894531 1726230160.2887
MEM 421.472656 1726230160.3891
MEM 421.472656 1726230160.4894
MEM 421.472656 1726230160.5897
MEM 421.472656 1726230160.6899
MEM 421.472656 1726230160.7902
MEM 421.472656 1726230160.8905
MEM 421.472656 1726230160.9908
MEM 421.472656 1726230161.0911
MEM 421.472656 1726230161.1914
MEM 421.472656 1726230161.2918
MEM 421.515625 1726230161.3922
MEM 421.515625 1726230161.4925
MEM 421.515625 1726230161.5929
MEM 421.515625 1726230161.6931
MEM 421.515625 1726230161.7934
MEM 421.515625 1726230161.8938
MEM 421.515625 1726230161.9942
MEM 421.515625 1726230162.0945
MEM 421.515625 1726230162.1948
MEM 421.515625 1726230162.2951
MEM 421.511719 1726230162.3954
MEM 421.511719 1726230162.4957
MEM 421.511719 1726230162.5960
MEM 421.511719 1726230162.6963
MEM 421.511719 1726230162.7966
MEM 421.511719 1726230162.8970
MEM 421.511719 1726230162.9973
MEM 421.511719 1726230163.0977
MEM 421.511719 1726230163.1980
MEM 421.511719 1726230163.2983
MEM 421.636719 1726230163.3986
MEM 421.636719 1726230163.4989
MEM 421.636719 1726230163.5992
MEM 421.636719 1726230163.6994
MEM 421.636719 1726230163.7997
MEM 421.636719 1726230163.9001
MEM 421.636719 1726230164.0004
MEM 421.636719 1726230164.1007
MEM 421.636719 1726230164.2010
MEM 421.636719 1726230164.3013
MEM 422.109375 1726230164.4016
MEM 422.109375 1726230164.5019
MEM 422.109375 1726230164.6022
MEM 422.109375 1726230164.7024
MEM 422.109375 1726230164.8027
MEM 422.109375 1726230164.9030
MEM 422.109375 1726230165.0033
MEM 422.109375 1726230165.1036
MEM 422.109375 1726230165.2039
MEM 422.109375 1726230165.3043
MEM 422.589844 1726230165.4046
MEM 422.589844 1726230165.5049
MEM 422.589844 1726230165.6052
MEM 422.589844 1726230165.7054
MEM 422.589844 1726230165.8057
MEM 422.589844 1726230165.9060
MEM 422.589844 1726230166.0063
MEM 422.589844 1726230166.1067
MEM 422.589844 1726230166.2070
MEM 422.589844 1726230166.3073
MEM 423.062500 1726230166.4076
MEM 423.062500 1726230166.5080
MEM 423.062500 1726230166.6083
MEM 423.062500 1726230166.7086
MEM 423.062500 1726230166.8090
MEM 423.062500 1726230166.9093
MEM 423.062500 1726230167.0096
MEM 423.062500 1726230167.1099
MEM 423.062500 1726230167.2102
MEM 423.062500 1726230167.3105
MEM 423.539062 1726230167.4108
MEM 423.539062 1726230167.5111
MEM 423.539062 1726230167.6113
MEM 423.539062 1726230167.7116
MEM 423.539062 1726230167.8118
MEM 423.539062 1726230167.9122
MEM 423.539062 1726230168.0125
MEM 423.539062 1726230168.1128
MEM 423.539062 1726230168.2132
MEM 423.539062 1726230168.3135
MEM 424.109375 1726230168.4138
MEM 424.109375 1726230168.5141
MEM 424.109375 1726230168.6144
MEM 424.109375 1726230168.7147
MEM 424.109375 1726230168.8149
MEM 424.109375 1726230168.9152
MEM 424.109375 1726230169.0155
MEM 424.109375 1726230169.1158
MEM 424.109375 1726230169.2161
MEM 424.109375 1726230169.3164
MEM 424.160156 1726230169.4167
MEM 424.160156 1726230169.5170
MEM 424.160156 1726230169.6173
MEM 424.160156 1726230169.7176
MEM 424.160156 1726230169.8179
MEM 424.160156 1726230169.9182
MEM 424.160156 1726230170.0186
MEM 424.160156 1726230170.1188
MEM 424.160156 1726230170.2192
MEM 424.160156 1726230170.3194
MEM 424.152344 1726230170.4197
MEM 424.152344 1726230170.5200
MEM 424.152344 1726230170.6202
MEM 424.152344 1726230170.7205
MEM 424.152344 1726230170.8207
MEM 424.152344 1726230170.9210
MEM 424.152344 1726230171.0213
MEM 424.152344 1726230171.1215
MEM 424.152344 1726230171.2218
MEM 424.152344 1726230171.3221
MEM 424.261719 1726230171.4224
MEM 424.261719 1726230171.5227
MEM 424.261719 1726230171.6230
MEM 424.261719 1726230171.7233
MEM 424.261719 1726230171.8236
MEM 424.261719 1726230171.9239
MEM 424.261719 1726230172.0243
MEM 424.261719 1726230172.1246
MEM 424.261719 1726230172.2249
MEM 424.261719 1726230172.3252
MEM 424.722656 1726230172.4255
MEM 424.722656 1726230172.5258
MEM 424.722656 1726230172.6261
MEM 424.722656 1726230172.7264
MEM 424.722656 1726230172.8266
MEM 424.722656 1726230172.9268
MEM 424.722656 1726230173.0271
MEM 424.722656 1726230173.1273
MEM 424.722656 1726230173.2276
MEM 424.722656 1726230173.3278
MEM 425.187500 1726230173.4281
MEM 425.187500 1726230173.5284
MEM 425.187500 1726230173.6286
MEM 425.187500 1726230173.7289
MEM 425.187500 1726230173.8292
MEM 425.187500 1726230173.9295
MEM 425.187500 1726230174.0298
MEM 425.187500 1726230174.1301
MEM 425.187500 1726230174.2304
MEM 425.187500 1726230174.3306
MEM 425.671875 1726230174.4310
MEM 425.671875 1726230174.5313
MEM 425.671875 1726230174.6315
MEM 425.671875 1726230174.7317
MEM 425.671875 1726230174.8319
MEM 425.671875 1726230174.9322
MEM 425.671875 1726230175.0325
MEM 425.671875 1726230175.1328
MEM 425.671875 1726230175.2330
MEM 425.671875 1726230175.3334
MEM 426.359375 1726230175.4337
MEM 426.359375 1726230175.5340
MEM 426.359375 1726230175.6342
MEM 426.359375 1726230175.7345
MEM 426.359375 1726230175.8347
MEM 426.359375 1726230175.9350
MEM 426.359375 1726230176.0353
MEM 426.359375 1726230176.1356
MEM 426.359375 1726230176.2359
MEM 426.359375 1726230176.3363
MEM 426.914062 1726230176.4366
MEM 426.914062 1726230176.5368
MEM 426.914062 1726230176.6371
MEM 426.914062 1726230176.7375
MEM 426.914062 1726230176.8378
MEM 426.914062 1726230176.9381
MEM 426.914062 1726230177.0384
MEM 426.914062 1726230177.1386
MEM 426.914062 1726230177.2390
MEM 426.914062 1726230177.3393
MEM 426.832031 1726230177.4396
MEM 426.832031 1726230177.5399
MEM 426.832031 1726230177.6401
MEM 426.832031 1726230177.7403
MEM 426.832031 1726230177.8406
MEM 426.832031 1726230177.9409
MEM 426.832031 1726230178.0411
MEM 426.832031 1726230178.1414
MEM 426.832031 1726230178.2417
MEM 426.832031 1726230178.3420
MEM 426.832031 1726230178.4423
MEM 426.832031 1726230178.5426
MEM 426.832031 1726230178.6429
MEM 426.832031 1726230178.7432
MEM 426.832031 1726230178.8434
MEM 426.832031 1726230178.9438
MEM 426.832031 1726230179.0441
MEM 426.832031 1726230179.1444
MEM 426.832031 1726230179.2447
MEM 426.832031 1726230179.3449
MEM 427.054688 1726230179.4452
MEM 427.054688 1726230179.5455
MEM 427.054688 1726230179.6458
MEM 427.054688 1726230179.7460
MEM 427.054688 1726230179.8462
MEM 427.054688 1726230179.9465
MEM 427.054688 1726230180.0469
MEM 427.054688 1726230180.1472
MEM 427.054688 1726230180.2477
