CMDLINE /home/farid/projects/test-mem-prof/.venv/bin/python3 main.py
MEM 0.562500 1726086434.8512
MEM 28.437500 1726086434.9515
MEM 34.964844 1726086435.0518
MEM 41.984375 1726086435.1521
MEM 118.937500 1726086435.2524
MEM 240.007812 1726086435.3528
MEM 283.101562 1726086435.4531
MEM 293.519531 1726086435.5534
MEM 307.085938 1726086435.6536
MEM 315.894531 1726086435.7540
MEM 328.218750 1726086435.8543
MEM 346.785156 1726086435.9546
MEM 353.859375 1726086436.0549
MEM 370.027344 1726086436.1552
MEM 388.285156 1726086436.2556
MEM 397.285156 1726086436.3559
MEM 403.214844 1726086436.4563
MEM 427.453125 1726086436.5567
MEM 428.742188 1726086436.6571
MEM 428.742188 1726086436.7576
MEM 428.742188 1726086436.8579
MEM 428.742188 1726086436.9582
MEM 428.742188 1726086437.0584
MEM 428.742188 1726086437.1587
MEM 428.742188 1726086437.2590
MEM 428.742188 1726086437.3594
MEM 428.742188 1726086437.4597
MEM 428.742188 1726086437.5600
MEM 428.742188 1726086437.6603
MEM 428.742188 1726086437.7606
MEM 428.742188 1726086437.8609
MEM 428.742188 1726086437.9614
MEM 428.742188 1726086438.0616
MEM 428.742188 1726086438.1619
MEM 428.742188 1726086438.2622
MEM 428.742188 1726086438.3625
MEM 428.742188 1726086438.4628
MEM 428.742188 1726086438.5631
MEM 428.742188 1726086438.6634
MEM 428.742188 1726086438.7638
MEM 428.742188 1726086438.8641
MEM 428.742188 1726086438.9644
MEM 428.742188 1726086439.0647
MEM 428.742188 1726086439.1649
MEM 428.742188 1726086439.2652
MEM 428.742188 1726086439.3655
MEM 428.742188 1726086439.4658
MEM 428.742188 1726086439.5661
MEM 428.742188 1726086439.6664
MEM 428.742188 1726086439.7667
MEM 428.742188 1726086439.8671
MEM 428.742188 1726086439.9676
MEM 428.742188 1726086440.0679
MEM 428.742188 1726086440.1682
MEM 428.742188 1726086440.2686
MEM 428.742188 1726086440.3689
MEM 428.742188 1726086440.4692
MEM 428.742188 1726086440.5695
MEM 428.742188 1726086440.6698
MEM 428.742188 1726086440.7701
MEM 428.742188 1726086440.8704
MEM 428.742188 1726086440.9706
MEM 428.742188 1726086441.0709
MEM 428.742188 1726086441.1712
MEM 428.742188 1726086441.2715
MEM 428.742188 1726086441.3718
MEM 428.742188 1726086441.4721
MEM 428.742188 1726086441.5724
MEM 429.113281 1726086441.6727
MEM 430.031250 1726086441.7730
MEM 438.468750 1726086441.8733
MEM 435.445312 1726086441.9738
MEM 435.445312 1726086442.0741
MEM 435.445312 1726086442.1746
MEM 435.445312 1726086442.2749
MEM 435.445312 1726086442.3752
MEM 435.445312 1726086442.4755
MEM 435.445312 1726086442.5758
MEM 435.617188 1726086442.6761
MEM 435.617188 1726086442.7764
MEM 435.617188 1726086442.8767
MEM 435.617188 1726086442.9770
MEM 435.617188 1726086443.0774
MEM 435.617188 1726086443.1777
MEM 435.617188 1726086443.2780
MEM 435.617188 1726086443.3783
MEM 435.644531 1726086443.4786
MEM 435.644531 1726086443.5789
MEM 435.644531 1726086443.6792
MEM 435.644531 1726086443.7797
MEM 435.644531 1726086443.8800
MEM 435.644531 1726086443.9803
MEM 435.644531 1726086444.0806
MEM 435.683594 1726086444.1809
MEM 435.683594 1726086444.2812
MEM 435.683594 1726086444.3815
MEM 435.683594 1726086444.4818
MEM 435.683594 1726086444.5821
MEM 435.683594 1726086444.6824
MEM 435.683594 1726086444.7827
MEM 435.832031 1726086444.8830
MEM 435.832031 1726086444.9833
MEM 435.832031 1726086445.0837
MEM 435.832031 1726086445.1840
MEM 435.832031 1726086445.2842
MEM 435.832031 1726086445.3846
MEM 435.832031 1726086445.4849
MEM 436.000000 1726086445.5852
MEM 436.000000 1726086445.6857
MEM 436.000000 1726086445.7860
MEM 436.000000 1726086445.8864
MEM 436.000000 1726086445.9867
MEM 436.000000 1726086446.0869
MEM 436.000000 1726086446.1872
MEM 436.136719 1726086446.2875
MEM 436.136719 1726086446.3878
MEM 436.136719 1726086446.4881
MEM 436.136719 1726086446.5884
MEM 436.136719 1726086446.6887
MEM 436.136719 1726086446.7891
MEM 436.136719 1726086446.8894
MEM 436.136719 1726086446.9897
MEM 436.136719 1726086447.0900
MEM 436.136719 1726086447.1904
MEM 436.136719 1726086447.2907
MEM 436.136719 1726086447.3910
MEM 436.136719 1726086447.4913
MEM 436.136719 1726086447.5917
MEM 436.136719 1726086447.6921
MEM 436.136719 1726086447.7924
MEM 436.136719 1726086447.8927
MEM 436.136719 1726086447.9930
MEM 436.136719 1726086448.0934
MEM 436.136719 1726086448.1936
MEM 436.136719 1726086448.2939
MEM 436.136719 1726086448.3942
MEM 436.136719 1726086448.4945
MEM 436.136719 1726086448.5947
MEM 436.136719 1726086448.6950
MEM 436.136719 1726086448.7953
MEM 436.136719 1726086448.8956
