CMDLINE /home/farid/projects/test-mem-prof/.venv/bin/python3 main.py
MEM 0.468750 1726086827.8718
MEM 28.183594 1726086827.9721
MEM 35.003906 1726086828.0724
MEM 40.417969 1726086828.1727
MEM 114.882812 1726086828.2730
MEM 228.476562 1726086828.3735
MEM 271.238281 1726086828.4738
MEM 285.445312 1726086828.5741
MEM 296.273438 1726086828.6745
MEM 309.718750 1726086828.7747
MEM 316.855469 1726086828.8750
MEM 337.531250 1726086828.9754
MEM 345.273438 1726086829.0757
MEM 358.660156 1726086829.1760
MEM 380.808594 1726086829.2764
MEM 390.296875 1726086829.3766
MEM 397.488281 1726086829.4769
MEM 421.105469 1726086829.5772
MEM 422.718750 1726086829.6775
MEM 422.718750 1726086829.7778
MEM 422.718750 1726086829.8782
MEM 422.718750 1726086829.9785
MEM 422.718750 1726086830.0788
MEM 422.718750 1726086830.1791
MEM 422.718750 1726086830.2794
MEM 422.718750 1726086830.3797
MEM 422.718750 1726086830.4800
MEM 581.882812 1726086830.5804
MEM 429.292969 1726086830.6808
MEM 429.292969 1726086830.7811
MEM 429.292969 1726086830.8814
MEM 429.292969 1726086830.9817
MEM 429.292969 1726086831.0820
MEM 429.292969 1726086831.1824
MEM 429.292969 1726086831.2827
MEM 429.292969 1726086831.3831
MEM 429.292969 1726086831.4834
MEM 429.292969 1726086831.5837
MEM 429.292969 1726086831.6840
MEM 429.292969 1726086831.7843
MEM 429.292969 1726086831.8847
MEM 429.292969 1726086831.9850
MEM 429.292969 1726086832.0853
MEM 429.292969 1726086832.1856
MEM 429.292969 1726086832.2859
MEM 429.292969 1726086832.3862
MEM 429.292969 1726086832.4865
MEM 429.292969 1726086832.5868
MEM 429.292969 1726086832.6871
MEM 429.292969 1726086832.7874
